Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=139 ttl=245 time=51.3 ms
64 bytes from 198.49.23.145: icmp_seq=140 ttl=244 time=44.4 ms
64 bytes from 198.49.23.145: icmp_seq=141 ttl=244 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=142 ttl=245 time=46.2 ms
64 bytes from 198.49.23.145: icmp_seq=143 ttl=245 time=44.8 ms
64 bytes from 198.49.23.145: icmp_seq=144 ttl=245 time=43.7 ms
64 bytes from 198.49.23.145: icmp_seq=145 ttl=245 time=48.7 ms
64 bytes from 198.49.23.145: icmp_seq=146 ttl=244 time=46.6 ms
64 bytes from 198.49.23.145: icmp_seq=147 ttl=244 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=148 ttl=245 time=51.7 ms
64 bytes from 198.49.23.145: icmp_seq=149 ttl=245 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=150 ttl=244 time=44.1 ms
64 bytes from 198.49.23.145: icmp_seq=151 ttl=245 time=52.4 ms
64 bytes from 198.49.23.145: icmp_seq=152 ttl=244 time=49.4 ms
64 bytes from 198.49.23.145: icmp_seq=153 ttl=245 time=48.6 ms
64 bytes from 198.49.23.145: icmp_seq=154 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=155 ttl=245 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=156 ttl=245 time=52.4 ms
64 bytes from 198.49.23.145: icmp_seq=157 ttl=245 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=158 ttl=245 time=43.6 ms
64 bytes from 198.49.23.145: icmp_seq=159 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=160 ttl=244 time=45.9 ms
64 bytes from 198.49.23.145: icmp_seq=161 ttl=244 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=162 ttl=244 time=54.3 ms
64 bytes from 198.49.23.145: icmp_seq=163 ttl=245 time=47.2 ms
64 bytes from 198.49.23.145: icmp_seq=164 ttl=244 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=165 ttl=245 time=44.6 ms
64 bytes from 198.49.23.145: icmp_seq=166 ttl=244 time=53.5 ms
64 bytes from 198.49.23.145: icmp_seq=167 ttl=245 time=51.0 ms
64 bytes from 198.49.23.145: icmp_seq=168 ttl=244 time=50.1 ms
64 bytes from 198.49.23.145: icmp_seq=169 ttl=245 time=44.7 ms
64 bytes from 198.49.23.145: icmp_seq=170 ttl=244 time=53.4 ms
64 bytes from 198.49.23.145: icmp_seq=171 ttl=245 time=50.3 ms
64 bytes from 198.49.23.145: icmp_seq=172 ttl=244 time=53.5 ms
64 bytes from 198.49.23.145: icmp_seq=173 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=174 ttl=245 time=50.7 ms
64 bytes from 198.49.23.145: icmp_seq=175 ttl=244 time=45.2 ms
64 bytes from 198.49.23.145: icmp_seq=176 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=177 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=178 ttl=244 time=50.3 ms
64 bytes from 198.49.23.145: icmp_seq=179 ttl=244 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=180 ttl=245 time=53.0 ms
64 bytes from 198.49.23.145: icmp_seq=181 ttl=245 time=49.6 ms
64 bytes from 198.49.23.145: icmp_seq=182 ttl=245 time=52.7 ms
64 bytes from 198.49.23.145: icmp_seq=183 ttl=245 time=58.1 ms
64 bytes from 198.49.23.145: icmp_seq=184 ttl=244 time=155 ms
64 bytes from 198.49.23.145: icmp_seq=185 ttl=244 time=45.4 ms
64 bytes from 198.49.23.145: icmp_seq=186 ttl=245 time=82.6 ms
64 bytes from 198.49.23.145: icmp_seq=187 ttl=245 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=188 ttl=244 time=44.9 ms
64 bytes from 198.49.23.145: icmp_seq=189 ttl=244 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=190 ttl=245 time=48.6 ms
64 bytes from 198.49.23.145: icmp_seq=191 ttl=245 time=44.7 ms
64 bytes from 198.49.23.145: icmp_seq=192 ttl=245 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=193 ttl=244 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=194 ttl=244 time=49.9 ms
64 bytes from 198.49.23.145: icmp_seq=195 ttl=245 time=48.0 ms
64 bytes from 198.49.23.145: icmp_seq=196 ttl=245 time=47.4 ms
64 bytes from 198.49.23.145: icmp_seq=197 ttl=244 time=46.2 ms
64 bytes from 198.49.23.145: icmp_seq=198 ttl=244 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=199 ttl=244 time=46.8 ms
64 bytes from 198.49.23.145: icmp_seq=200 ttl=244 time=51.7 ms
64 bytes from 198.49.23.145: icmp_seq=201 ttl=244 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=202 ttl=245 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=203 ttl=245 time=50.0 ms
64 bytes from 198.49.23.145: icmp_seq=204 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=205 ttl=244 time=43.7 ms
64 bytes from 198.49.23.145: icmp_seq=206 ttl=245 time=54.3 ms
64 bytes from 198.49.23.145: icmp_seq=207 ttl=244 time=44.5 ms
64 bytes from 198.49.23.145: icmp_seq=208 ttl=244 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=209 ttl=244 time=53.5 ms
64 bytes from 198.49.23.145: icmp_seq=210 ttl=244 time=46.0 ms
64 bytes from 198.49.23.145: icmp_seq=211 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=212 ttl=244 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=213 ttl=245 time=50.7 ms
64 bytes from 198.49.23.145: icmp_seq=214 ttl=244 time=47.8 ms
64 bytes from 198.49.23.145: icmp_seq=215 ttl=244 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=216 ttl=244 time=51.1 ms
64 bytes from 198.49.23.145: icmp_seq=217 ttl=244 time=49.7 ms
64 bytes from 198.49.23.145: icmp_seq=218 ttl=244 time=53.1 ms
64 bytes from 198.49.23.145: icmp_seq=219 ttl=244 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=220 ttl=244 time=51.7 ms
64 bytes from 198.49.23.145: icmp_seq=221 ttl=245 time=45.9 ms
64 bytes from 198.49.23.145: icmp_seq=222 ttl=244 time=50.1 ms
64 bytes from 198.49.23.145: icmp_seq=223 ttl=244 time=47.8 ms
64 bytes from 198.49.23.145: icmp_seq=224 ttl=245 time=52.0 ms
64 bytes from 198.49.23.145: icmp_seq=225 ttl=244 time=45.5 ms
64 bytes from 198.49.23.145: icmp_seq=226 ttl=245 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=227 ttl=245 time=51.9 ms
64 bytes from 198.49.23.145: icmp_seq=228 ttl=245 time=46.7 ms
64 bytes from 198.49.23.145: icmp_seq=229 ttl=244 time=44.6 ms
64 bytes from 198.49.23.145: icmp_seq=230 ttl=244 time=47.5 ms
64 bytes from 198.49.23.145: icmp_seq=231 ttl=245 time=51.1 ms
64 bytes from 198.49.23.145: icmp_seq=232 ttl=244 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=233 ttl=245 time=48.2 ms
64 bytes from 198.49.23.145: icmp_seq=234 ttl=244 time=53.3 ms
64 bytes from 198.49.23.145: icmp_seq=235 ttl=244 time=45.3 ms
64 bytes from 198.49.23.145: icmp_seq=236 ttl=245 time=52.1 ms
64 bytes from 198.49.23.145: icmp_seq=237 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=238 ttl=244 time=45.9 ms
64 bytes from 198.49.23.145: icmp_seq=239 ttl=245 time=54.9 ms
64 bytes from 198.49.23.145: icmp_seq=240 ttl=244 time=52.5 ms
64 bytes from 198.49.23.145: icmp_seq=241 ttl=244 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=242 ttl=245 time=48.7 ms
64 bytes from 198.49.23.145: icmp_seq=243 ttl=244 time=50.2 ms
64 bytes from 198.49.23.145: icmp_seq=244 ttl=244 time=56.5 ms
64 bytes from 198.49.23.145: icmp_seq=245 ttl=245 time=46.2 ms
64 bytes from 198.49.23.145: icmp_seq=246 ttl=245 time=48.3 ms
64 bytes from 198.49.23.145: icmp_seq=247 ttl=244 time=51.0 ms
64 bytes from 198.49.23.145: icmp_seq=248 ttl=244 time=57.2 ms
64 bytes from 198.49.23.145: icmp_seq=249 ttl=244 time=48.4 ms
64 bytes from 198.49.23.145: icmp_seq=250 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=251 ttl=245 time=46.5 ms
64 bytes from 198.49.23.145: icmp_seq=252 ttl=245 time=44.7 ms
64 bytes from 198.49.23.145: icmp_seq=253 ttl=245 time=48.3 ms
64 bytes from 198.49.23.145: icmp_seq=254 ttl=245 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=255 ttl=245 time=44.5 ms
64 bytes from 198.49.23.145: icmp_seq=256 ttl=244 time=47.3 ms
64 bytes from 198.49.23.145: icmp_seq=257 ttl=244 time=59.2 ms
64 bytes from 198.49.23.145: icmp_seq=258 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=259 ttl=245 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=260 ttl=245 time=50.1 ms
64 bytes from 198.49.23.145: icmp_seq=261 ttl=245 time=46.0 ms
64 bytes from 198.49.23.145: icmp_seq=262 ttl=245 time=48.3 ms
64 bytes from 198.49.23.145: icmp_seq=263 ttl=245 time=47.8 ms
